UUID,boundary_strategy_default,boundary_strategy_jet,boundary_strategy_consistent,gray_1d_counted,gray_1d_placed,gray_2d_counted,gray_2d_placed,gray_complex_counted,gray_complex_placed,kindlmann_1d_counted,kindlmann_1d_placed,kindlmann_2d_counted,kindlmann_2d_placed,kindlmann_complex_counted,kindlmann_complex_placed,default_1d_counted,default_1d_placed,default_2d_counted,default_2d_placed,default_complex_counted,default_complex_placed,jet_1d_counted,jet_1d_placed,jet_2d_counted,jet_2d_placed,jet_complex_counted,jet_complex_placed
de550cd7-699c-4223-8183-e7580d3956da,False,False,True,4,3,3,3,7,7,6,6,7,6,6,5,6,6,7,6,7,6,9,8,8,8,7,8
3a90d49e-526c-4d3f-a946-63403fef97a6,False,True,False,4,3,3,3,4,3,5,5,6,5,5,5,6,6,6,6,6,6,6,5,8,7,6,6
09212602-447b-49f0-b514-7ca1a1464dca,True,False,False,3,4,3,3,4,4,10,8,6,7,7,6,9,8,7,7,5,5,10,9,9,9,5,6
6b43f795-f824-4222-b3ae-920f9b65c0d3,False,True,False,5,4,4,3,5,4,8,7,8,7,6,5,10,9,7,6,9,8,15,14,11,10,10,9
08320cac-6b19-4e96-86be-1c38a0032d76,False,False,True,5,4,5,4,6,6,11,10,12,11,9,8,8,8,8,8,7,6,10,11,11,11,8,9
cd9cf3f9-29f6-40df-baca-c3e77d71f0be,True,False,False,18,17,8,8,8,8,16,13,18,14,12,11,19,17,17,18,11,13,14,14,18,18,10,9
a073d179-b2be-474c-ae3d-67bcd1a2fedf,False,True,False,4,3,5,4,4,4,7,6,7,6,5,4,5,3,7,6,6,5,7,6,10,9,7,6
6b494de6-90ac-4d6b-8311-eff79d51d845,False,False,True,3,2,3,2,3,2,5,4,6,6,3,4,7,6,7,6,5,5,6,6,6,6,5,5
fcf08809-e1b8-4e1c-8293-4e907cb62047,True,False,False,5,5,4,4,4,4,9,9,9,10,7,7,5,5,5,5,6,6,5,5,7,7,6,7
2652ec50-3918-492f-9d65-6210c2ca3031,False,True,False,22,20,18,21,9,10,11,12,22,16,16,13,15,13,9,10,11,10,16,12,12,12,8,10
4fab10b4-832f-4a50-a4be-9f59530cb913,True,True,True,3,2,4,3,8,10,8,7,12,10,9,12,7,7,9,8,8,8,10,10,14,14,12,12
2662da1b-af52-462a-8a78-0b45337d79db,False,False,True,6,5,4,3,4,3,6,5,5,4,5,4,5,4,5,4,5,4,6,5,7,6,6,5
abedf692-97de-4b86-b749-4e626eaf2065,True,True,True,3,2,3,4,3,9,5,4,5,5,5,5,5,4,5,5,4,4,6,6,8,8,7,6
c543e2b7-71ab-4c1f-9e44-efdaa6ee4ed4,False,True,False,5,4,5,4,4,3,8,7,9,7,5,4,5,4,7,6,5,4,9,8,8,7,6,5
cfd3daa0-df19-4714-a47b-bf8d39aa74c5,False,True,False,8,16,8,9,8,12,12,15,14,15,12,24,11,14,9,12,8,14,7,12,9,10,7,10
c87fc0cb-ea62-4c15-84ad-a3b7679a4c73,True,True,True,4,3,4,3,4,3,8,8,5,5,5,7,7,7,9,8,7,6,9,8,8,7,8,8
7353e253-53db-4bca-8ac6-eb32908cfe91,False,False,True,5,4,4,4,5,5,8,7,8,8,8,7,7,6,7,6,6,5,8,7,9,8,6,6
e33b1151-fac9-4bad-a408-084ac548a88d,True,True,True,4,4,2,2,3,2,6,6,7,8,5,4,6,6,7,5,7,6,7,6,9,8,6,5
f103a640-9207-4839-a512-8188723438e3,True,True,True,3,2,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,10,9,9
d271f650-f6f6-4343-829e-83fbb2b2e7e0,False,True,False,4,3,3,2,3,3,7,6,7,8,6,5,8,8,7,6,6,5,6,5,9,8,7,8
5a3bc91c-18be-4072-9ced-32b3b5ce5df1,False,True,False,4,3,3,2,4,3,5,4,4,3,3,2,4,3,6,5,4,3,4,3,4,3,3,2
353b376a-718c-4ae8-bf5f-082299ad82ef,True,True,True,13,14,10,11,6,7,10,11,10,11,7,10,8,9,8,8,7,8,10,9,13,13,8,9
25de8192-2ed1-42c0-8aaa-3a2aacb9aefe,False,False,True,3,2,3,2,4,3,5,4,6,6,5,4,6,5,7,6,6,5,8,9,10,9,6,6
0fce97e0-b60e-4f0c-8191-7d29f3c62264,False,False,True,7,7,7,7,10,10,11,11,13,13,12,12,10,11,9,8,9,9,14,14,13,14,11,12
469efc23-b5ee-4cb3-95d5-3f07582aef59,True,True,True,4,3,3,3,4,4,15,14,11,10,11,11,7,6,7,6,7,7,10,14,11,12,8,11
c1cc912d-9b64-466e-a543-e86185b08960,True,True,True,8,8,6,6,10,8,6,7,8,6,6,5,8,7,8,8,10,10,14,16,12,14,10,9
69be4cdd-9063-4877-bbcd-a07a14e36ec9,False,False,True,7,9,5,6,5,5,5,6,6,6,6,5,6,5,5,4,6,7,4,3,9,8,8,8
2c762691-1f88-464d-a998-f368694d5e3c,False,False,True,6,6,4,4,8,7,14,14,15,15,11,11,11,11,11,8,10,9,11,10,10,10,12,11
